Names,Runs,Innings,Average
"Matt Prior 
","1,282",68,24.18
"Jon Lewis
",50,13,8.33
"Chris Tremlett
",50,15,7.14
"Liam Plunkett
",584,82,19.46
"Glen Chapple
",14,1,14.00
"Jamie Dalrymple
",487,27,19.48
"Ed Joyce
",471,17,27.70
"Tim Bresnan
",871,85,19.79
"Alex Loudon
",0,1,0.00
"Alastair Cook 
","3,204",92,36.40
"Stuart Broad 
",529,121,12.30
"Michael Yardy
",326,28,20.37
"Paul Nixon 
",297,19,21.21
"Monty Panesar
",26,26,5.20
"Mal Loye
",142,7,20.28
"Ravi Bopara
","2,695",120,30.62
"Dimitri Mascarenhas
",245,20,22.27
"Luke Wright
",707,50,20.20
"Phil Mustard 
",233,10,23.30
"Tim Ambrose 
",10,5,2.50
"Samit Patel
",482,36,32.13
"Eoin Morgan 
","6,233",199,40.21
"Joe Denly
",293,13,26.63
"Adil Rashid
",543,88,20.11
"Jonathan Trott
","2,819",68,51.25
"Graham Onions
",1,4,1.00
"Steven Davies 
",244,8,30.50
"Craig Kieswetter 
","1,054",46,30.11
"James Tredwell
",163,45,11.64
"Ajmal Shahzad
",39,11,6.50
